Typical Values,per 100g,per 80g (1 medium apple),item name,per 40g portion,per 40g portion %RI,your RI*,per 80g portion,per 100g:,per 20g serving,(as consumed) per 100g,(as consumed) per 40g portion,per pack,per 80g (1 lemon),per 80g (1 lemon) %GDA,your GDA*,% adult RI per 100g,adult RI,per 80g (1 medium apple) %GDA,per 80g serving (1 large slice),%GDA,per 80g (1 medium pear),per 80g (1 medium pear) %GDA,per 80g serving (2 kiwi fruit),per 80g (1 medium apple) % GDA,per 30g portion,%RI,per 80g serving,per 1/6 pack,per 1/6 pack %GDA,per bag,per bag %RI,per 25g portion,per 25g portion %RI,per 40g portion ,per 50g portion,per 30g portion %RI,per 1/5 pack (82g)
Fibre ,2.4g,,Morrisons Snack Apple & Grape Bag 80g,,,,,,,,,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,0.4g,,Morrisons Snack Apple & Grape Bag 80g,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,trace,,Morrisons Snack Apple & Grape Bag 80g,,,,,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,207kJ/49kcal,,Morrisons Watermelon & Mango 230g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,0.3g,,Morrisons Watermelon & Mango 230g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,0.1g,,Morrisons Watermelon & Mango 230g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,10.2g,,Morrisons Watermelon & Mango 230g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,10.1g,,Morrisons Watermelon & Mango 230g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,1.8g,,Morrisons Watermelon & Mango 230g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,0.6g,,Morrisons Watermelon & Mango 230g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,trace,,Morrisons Watermelon & Mango 230g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approx. 3 portions ,,,Morrisons Watermelon & Mango 230g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,214kJ/51kcal,,"Morrisons Strawberry Mango, Raspberry & Apple  210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,0.4g,,"Morrisons Strawberry Mango, Raspberry & Apple  210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,0.1g,,"Morrisons Strawberry Mango, Raspberry & Apple  210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,10.3g,,"Morrisons Strawberry Mango, Raspberry & Apple  210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,10.2g,,"Morrisons Strawberry Mango, Raspberry & Apple  210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,1.6g,,"Morrisons Strawberry Mango, Raspberry & Apple  210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,0.7g,,"Morrisons Strawberry Mango, Raspberry & Apple  210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,trace,,"Morrisons Strawberry Mango, Raspberry & Apple  210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains approx. 3 portions,,,"Morrisons Strawberry Mango, Raspberry & Apple  210g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,271kJ/64kcal,,"Morrisons Apple, Banana, Grape & Strawberry  220g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,0.3g,,"Morrisons Apple, Banana, Grape & Strawberry  220g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,nil,,"Morrisons Apple, Banana, Grape & Strawberry  220g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,14.1g,,"Morrisons Apple, Banana, Grape & Strawberry  220g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,13.6g,,"Morrisons Apple, Banana, Grape & Strawberry  220g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,0.9g,,"Morrisons Apple, Banana, Grape & Strawberry  220g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
