Typical Values,per 100g (as sold),item name,Per 100g serving,as sold Per 100g,Per 100g,Per portion (125g) (%*),Per 100g As Prepared,Per 1/2 Pack (145g) As Prepared,(as consumed) per 100g,(as consumed) per 180g cooked pasta (approx. 75g dry pasta),per 180g cooked pasta (approx. 75g dry pasta) %RI,your RI*,Per 100g Prepared,Per 100g Unprepared,Per Serving Prepared,%* per portion**,(as consumed) per 180g cooked pasta (approx 75g dry pasta),per 180g cooked pasta (approx 75g dry pasta) %RI,Per 12 Pack As Prepared (183g),% Reference Intake,%RI,Per Pot (265g) As Prepared,per: 100g uncooked,per: 75g uncooked,Per 100g as sold,Per portion as prepared (145g),Per 1/2 Pack As Prepared (183g),as consumed per 100g,as consumed per 1/2 pack (110g),per 1/2 pack (110g) %RI,Per (100g),Per (150g),Per Serving,(as prepared) per 100g,(as prepared) per 1/2 pack (140g),per 1/2 pack (140g) %RI,(as prepared) per pot,Per Pot (315g) As Prepared,(as consumed) Per 100g,(as consumed) Per pot (338g),(as consumed) Per sachet,as prepared per: 100g,as prepared per: Cup,Per portion as prepared (161g),%Reference Intake,per 100g prepared product:,Per Pot (245g) As Prepared,Per 125g Serving,Avg. Quantity per Serving (as made up),Avg. Quantity per 100g (as made up),per 100g,Per 100g uncooked,Per 75g uncooked,Avg. Quantity per 100 g (as made up),per 100g prepared:,Per Pot (305g) As Prepared,Avg Quantity per Serving (as made up),(as consumed) Per pot (258g),(as sold) Per 100g,Avg Quantity per 100 g (as made up),Per portion (110g) (%*),Per pot,(as consumed) per pot,(typical values as microwaved) Per 100g,(typical values as microwaved) Per Pack,Per 100g (As consumed),Per Portion 130g (As consumed),per 100 g prepared product:,(as consumed) Per pot (434g),Per 100g ,Per 56g pack,(as consumed) per sachet,Per Portion,Per Pot (350g) As Prepared,Per Pot (395g) As Prepared,(as consumed without additional ingredients) Per 100g,(as consumed without additional ingredients) Per serving (155g),(as consumed without additional ingredients) Per serving (158g),as consumed per 1/2 pack (125g),per 1/2 pack (125g) %RI,per 1/2 pack (125g),(as consumed) per 1/4 pack (167g when cooked),(boiled) per 100g,(boiled) per 225g portion,per 225g portion %RI,(as consumed) per 205g portion,per 205g portion %RI,Per portion (125g),Per 1/2 Pack as Prepared (183g),per 225g portion,per 180g cooked pasta (approx. 75g dry pasta) RI*,(as consumed) per 80g portion,per 80g portion %RI,Per 100g as prepared**,Per serving**,% RI*,(as consumed) per 1/4 pack (184g when cooked),(as consumed) per 150g cooked pasta (approx. 75g dry pasta),per 100 g
Salt,,Batchelors Pasta'N'Sauce American Mac'N'Cheese Garlic Mushroom 99g,,,,,0.63g,,,,,,,,,,,,,19%,,,,,,,1.15g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference Intake of an average adult (8400kJ/2000kcal),,Batchelors Pasta'N'Sauce American Mac'N'Cheese Garlic Mushroom 99g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This pack contains 2 portions,,Batchelors Pasta'N'Sauce American Mac'N'Cheese Garlic Mushroom 99g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,Batchelors Big Super Noodles Chicken 100g,,,,,564kJ/135kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975kJ/471kcal,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,Batchelors Big Super Noodles Chicken 100g,,,,,5.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9g,,,,,,,,,,,,,,,,,,,,,,,,,
 of which Saturates,,Batchelors Big Super Noodles Chicken 100g,,,,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1g,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,Batchelors Big Super Noodles Chicken 100g,,,,,17.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7g,,,,,,,,,,,,,,,,,,,,,,,,,
 of which Sugars,,Batchelors Big Super Noodles Chicken 100g,,,,,1.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0g,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,,Batchelors Big Super Noodles Chicken 100g,,,,,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1g,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,Batchelors Big Super Noodles Chicken 100g,,,,,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7g,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,Batchelors Big Super Noodles Chicken 100g,,,,,0.63g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22g,,,,,,,,,,,,,,,,,,,,,,,,,
This pot contains 1 portion,,Batchelors Big Super Noodles Chicken 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Batchelors Big Pasta N Sauce Cheese & Broccoli  85g,,,,,343kJ,,,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1355kJ,,,,,,,,,,,,,,,,,,,,,,,,
,,Batchelors Big Pasta N Sauce Cheese & Broccoli  85g,,,,,81kcal,,,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320kcal,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Batchelors Big Pasta N Sauce Cheese & Broccoli  85g,,,,,1.1g,,,,,,,,,,,,,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3g,,,,,,,,,,,,,,,,,,,,,,,,
of which Saturates ,,Batchelors Big Pasta N Sauce Cheese & Broccoli  85g,,,,,0.6g,,,,,,,,,,,,,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Batchelors Big Pasta N Sauce Cheese & Broccoli  85g,,,,,14.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5g,,,,,,,,,,,,,,,,,,,,,,,,
of which Sugars ,,Batchelors Big Pasta N Sauce Cheese & Broccoli  85g,,,,,1.7g,,,,,,,,,,,,,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7g,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Batchelors Big Pasta N Sauce Cheese & Broccoli  85g,,,,,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Batchelors Big Pasta N Sauce Cheese & Broccoli  85g,,,,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1g,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Batchelors Big Pasta N Sauce Cheese & Broccoli  85g,,,,,0.55g,,,,,,,,,,,,,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17g,,,,,,,,,,,,,,,,,,,,,,,,
This pot contains 1 portion,,Batchelors Big Pasta N Sauce Cheese & Broccoli  85g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Nissin Soba Sukiy Noodles 75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921 kJ / 220 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Nissin Soba Sukiy Noodles 75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,7 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,Nissin Soba Sukiy Noodles 75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,8 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Nissin Soba Sukiy Noodles 75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,9 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,Nissin Soba Sukiy Noodles 75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,3 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Nissin Soba Sukiy Noodles 75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,6 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Nissin Soba Sukiy Noodles 75g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,9 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,Naked Noodle On The Hob Singapore Curry  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471kJ(111kcal),731kJ(173kcal),,,,,,,,,,,,,,,,,,,,,,
Fat,,Naked Noodle On The Hob Singapore Curry  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6g,1.0g,,,,,,,,,,,,,,,,,,,,,,
of which saturates,,Naked Noodle On The Hob Singapore Curry  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,0.3g,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,Naked Noodle On The Hob Singapore Curry  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4g,33.2g,,,,,,,,,,,,,,,,,,,,,,
of which sugars,,Naked Noodle On The Hob Singapore Curry  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3g,2.0g,,,,,,,,,,,,,,,,,,,,,,
Fibre,,Naked Noodle On The Hob Singapore Curry  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6g,2.4g,,,,,,,,,,,,,,,,,,,,,,
Protein,,Naked Noodle On The Hob Singapore Curry  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2g,6.5g,,,,,,,,,,,,,,,,,,,,,,
Salt,,Naked Noodle On The Hob Singapore Curry  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90g,1.39g,,,,,,,,,,,,,,,,,,,,,,
This pack provides 2 servings,,Naked Noodle On The Hob Singapore Curry  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,Naked Noodle On The Hob Chicken Yakisoba  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462kJ(109kcal),716kJ(169kcal),,,,,,,,,,,,,,,,,,,,,,
Fat,,Naked Noodle On The Hob Chicken Yakisoba  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6g,0.9g,,,,,,,,,,,,,,,,,,,,,,
of which saturates,,Naked Noodle On The Hob Chicken Yakisoba  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,0.2g,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,Naked Noodle On The Hob Chicken Yakisoba  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1g,32.8g,,,,,,,,,,,,,,,,,,,,,,
of which sugars,,Naked Noodle On The Hob Chicken Yakisoba  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6g,4.0g,,,,,,,,,,,,,,,,,,,,,,
Fibre,,Naked Noodle On The Hob Chicken Yakisoba  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5g,2.3g,,,,,,,,,,,,,,,,,,,,,,
Protein,,Naked Noodle On The Hob Chicken Yakisoba  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1g,6.4g,,,,,,,,,,,,,,,,,,,,,,
Salt,,Naked Noodle On The Hob Chicken Yakisoba  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88g,1.36g,,,,,,,,,,,,,,,,,,,,,,
This pack provides 2 servings,,Naked Noodle On The Hob Chicken Yakisoba  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Naked Noodle The Big One Thai Fiery Chicken Panang 104g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355kJ(84kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540kJ(364kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Naked Noodle The Big One Thai Fiery Chicken Panang 104g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,Naked Noodle The Big One Thai Fiery Chicken Panang 104g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Naked Noodle The Big One Thai Fiery Chicken Panang 104g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,Naked Noodle The Big One Thai Fiery Chicken Panang 104g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Naked Noodle The Big One Thai Fiery Chicken Panang 104g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Naked Noodle The Big One Thai Fiery Chicken Panang 104g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Naked Noodle The Big One Thai Fiery Chicken Panang 104g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This pot provides 1 serving  ,,Naked Noodle The Big One Thai Fiery Chicken Panang 104g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Batchelors Big Pasta N Sauce Chicken & Mushroom  85g,,,,,332kJ,,,,,,,,,,,,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310kJ,,,,,,,,,,,,,,,,,,,,,,,,
,,Batchelors Big Pasta N Sauce Chicken & Mushroom  85g,,,,,78kcal,,,,,,,,,,,,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309kcal,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Batchelors Big Pasta N Sauce Chicken & Mushroom  85g,,,,,<0.5g,,,,,,,,,,,,,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,
of which Saturates ,,Batchelors Big Pasta N Sauce Chicken & Mushroom  85g,,,,,0.1g,,,,,,,,,,,,,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Batchelors Big Pasta N Sauce Chicken & Mushroom  85g,,,,,16.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8g,,,,,,,,,,,,,,,,,,,,,,,,
of which Sugars ,,Batchelors Big Pasta N Sauce Chicken & Mushroom  85g,,,,,1.7g,,,,,,,,,,,,,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7g,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Batchelors Big Pasta N Sauce Chicken & Mushroom  85g,,,,,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Batchelors Big Pasta N Sauce Chicken & Mushroom  85g,,,,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3g,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Batchelors Big Pasta N Sauce Chicken & Mushroom  85g,,,,,0.48g,,,,,,,,,,,,,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90g,,,,,,,,,,,,,,,,,,,,,,,,
This pot contains 1 portion,,Batchelors Big Pasta N Sauce Chicken & Mushroom  85g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,Naked Noodle On The Hob Korean BBQ Beef  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459kJ(108kcal),,725kJ(171kcal),,,,,,,,,,,,,,,,,,,,,
Fat,,Naked Noodle On The Hob Korean BBQ Beef  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6g,,0.9g,,,,,,,,,,,,,,,,,,,,,
of which saturates,,Naked Noodle On The Hob Korean BBQ Beef  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,0.2g,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,Naked Noodle On The Hob Korean BBQ Beef  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8g,,32.9g,,,,,,,,,,,,,,,,,,,,,
of which sugars,,Naked Noodle On The Hob Korean BBQ Beef  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2g,,2.0g,,,,,,,,,,,,,,,,,,,,,
Fibre,,Naked Noodle On The Hob Korean BBQ Beef  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5g,,2.4g,,,,,,,,,,,,,,,,,,,,,
Protein,,Naked Noodle On The Hob Korean BBQ Beef  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2g,,6.7g,,,,,,,,,,,,,,,,,,,,,
Salt,,Naked Noodle On The Hob Korean BBQ Beef  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85g,,1.34g,,,,,,,,,,,,,,,,,,,,,
This pack provides 2 servings,,Naked Noodle On The Hob Korean BBQ Beef  100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Morrisons Long Grain Micro Rice  250g,,,,,,,,,,8400kJ,,,,,,,,,,,,,,,,625kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782kJ,,,,,,,,,,,,,,,,,,,,
,,Morrisons Long Grain Micro Rice  250g,,,,,,,,,,2000kcal,,,,,,,,,,,,,,,,148kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185kcal,9%,,,,,,,,,,,,,,,,,,,
Fat ,,Morrisons Long Grain Micro Rice  250g,,,,,,,,,,70g,,,,,,,,,,,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3g,2%,,,,,,,,,,,,,,,,,,,
of which saturates ,,Morrisons Long Grain Micro Rice  250g,,,,,,,,,,20g,,,,,,,,,,,,,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8g,4%,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Morrisons Long Grain Micro Rice  250g,,,,,,,,,,,,,,,,,,,,,,,,,,30.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4g,,,,,,,,,,,,,,,,,,,,
of which sugars ,,Morrisons Long Grain Micro Rice  250g,,,,,,,,,,90g,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,<1%,,,,,,,,,,,,,,,,,,,
Fibre ,,Morrisons Long Grain Micro Rice  250g,,,,,,,,,,,,,,,,,,,,,,,,,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1g,,,,,,,,,,,,,,,,,,,,
Protein ,,Morrisons Long Grain Micro Rice  250g,,,,,,,,,,,,,,,,,,,,,,,,,,3.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9g,,,,,,,,,,,,,,,,,,,,
Salt ,,Morrisons Long Grain Micro Rice  250g,,,,,,,,,,6g,,,,,,,,,,,,,,,,0.05g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06g,1%,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,Morrisons Long Grain Micro Rice  250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 2 portions,,Morrisons Long Grain Micro Rice  250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Morrisons Pilau Micro Rice  250g,,,,,,,,,,8400kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833kJ,,,,,,,,,,,,,,,,,,
,,Morrisons Pilau Micro Rice  250g,,,,,,,,,,2000kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,197kcal,,,,,,,,,,,,,,,,,,
Fat ,,Morrisons Pilau Micro Rice  250g,,,,,,,,,,70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,1.9g,,,,,,,,,,,,,,,,,,
of which saturates ,,Morrisons Pilau Micro Rice  250g,,,,,,,,,,20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,0.8g,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Morrisons Pilau Micro Rice  250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9g,,,,,,,,,,,,,,,,,,
of which sugars ,,Morrisons Pilau Micro Rice  250g,,,,,,,,,,90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1%,0.4g,,,,,,,,,,,,,,,,,,
