Typical Values,(oven cooked) per 100g,(oven cooked) per fillet (97g),%RI,your RI*,item name,price,image_url,product_url,(grilled) per 100g,(grilled) per grilled sausage (26g),(as sold) per 100g,(grilled) per grilled sausage (53g),(as consumed) per 100g,(as consumed) per kiev (approx. 113g),(as consumed) per 3 goujons (approx. 76g),(grilled) per rasher (21g),% RI,(grilled) per rasher (25g),per grilled sausage (55g),per 100g,(grilled) per grilled sausage (27g),Per 100g as sold,(grilled) per rasher (22g),(grilled) per grilled sausage (54g),per fillet (80g),(oven cooked) per 100g:,(as consumed) per kiev (approx. 127g),(as consumed) per 1/2 pack (approx. 90g),(as consumed) 10 bites (approx. 70g),per 3 goujons (approx. 73g),(as sold) Per 100g,(as sold) Per 1/4 pack,(as consumed) per 100g:,Per 100g grilled,Per rasher 25g grilled,% intake per 25g,(as consumed) per 1/2 pack (123g),(as consumed) per 1/2 pack (158g),(oven cooked) per 1/2 pack (88g),(as consumed) per 3 goujons (approx. 82g),Per 100g (grilled),Per 2 chipolatas (59g) (grilled),Per 2 sausages (117g) (grilled),per grilled 100g,per grilled sausage (54g),(as consumed) per fillet (approx. 164g),(grilled) per rasher (approx. 18g),Per 100g As Sold,(as consumed) per fishcake (approx. 140g),per fishcake (approx. 140g) %RI,Per 2 chipolatas (58g) (grilled),(as consumed) per fillet (approx. 155g),(grilled) per sausage (49g),(cooked as per instructions) Per 100g,(cooked as per instructions) Per 150g,(as consumed) per 100 g,(as consumed) per 1/2 pack (131g),(boiled) per 100g,(boiled) per 1/2 pack (198g),(as consumed) per fishcake (approx. 136g),per fishcake (approx. 136g),(as sold) per pack,(grilled) per sausage (54g),Per 100g,per 100g as sold:,(grilled) per grilled sausage (55g),(as grilled) per 100g,per 100g:,(as consumed) per 1/2 pack (128g),(as consumed) per drumstick and thigh (excl. bone) (approx.191g),(grilled) per 2 rashers (approx. 21g),(oven cooked) per 1/2 pack (192g),(as sold) per 100g:,(shallow fried) per 100g:,per pack,you RI*,(as consumed) per pudding (27g),(stir fried) per 100g,100g of Grilled Sausage contains,1 Grilled Sausage (46g) contains,(as consumed) per grilled sausage (approx. 42g),per grilled sausage (50g) %RI,Per 100g Grilled,1 Grilled Sausage (23g) contains,(as consumed) per pudding (39g),(grilled) per burger (approx. 83g)
of which sugars,,,,,Spoiltpig Unsmoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116149011_0_640x640.jpg?identifier=aed37aa5f4d39604cb5b72eae2113eee'],https://groceries.morrisons.com//products/spoiltpig-unsmoked-dry-cured-back-bacon-rashers-116149011,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,,,,Spoiltpig Unsmoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116149011_0_640x640.jpg?identifier=aed37aa5f4d39604cb5b72eae2113eee'],https://groceries.morrisons.com//products/spoiltpig-unsmoked-dry-cured-back-bacon-rashers-116149011,,,,,,,,,,,,,,20.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,,,,Spoiltpig Unsmoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116149011_0_640x640.jpg?identifier=aed37aa5f4d39604cb5b72eae2113eee'],https://groceries.morrisons.com//products/spoiltpig-unsmoked-dry-cured-back-bacon-rashers-116149011,,,,,,,,,,,,,,2.63g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,3%,8400kJ/2000kcal,Morrisons The Best Hampshire Breed Dry Cured Unsmoked Back Bacon 200g,£2.65,['/productImages/405/405458011_0_640x640.jpg?identifier=20a49366ea08ef4801f893a30c107db0'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-unsmoked-back-bacon-405458011,1242kJ/298kcal,,,,,,,,,,,,,,268kJ/64kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,6%,70g,Morrisons The Best Hampshire Breed Dry Cured Unsmoked Back Bacon 200g,£2.65,['/productImages/405/405458011_0_640x640.jpg?identifier=20a49366ea08ef4801f893a30c107db0'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-unsmoked-back-bacon-405458011,18.8g,,,,,,,,,,,,,,4.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,7%,20g,Morrisons The Best Hampshire Breed Dry Cured Unsmoked Back Bacon 200g,£2.65,['/productImages/405/405458011_0_640x640.jpg?identifier=20a49366ea08ef4801f893a30c107db0'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-unsmoked-back-bacon-405458011,6.7g,,,,,,,,,,,,,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons The Best Hampshire Breed Dry Cured Unsmoked Back Bacon 200g,£2.65,['/productImages/405/405458011_0_640x640.jpg?identifier=20a49366ea08ef4801f893a30c107db0'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-unsmoked-back-bacon-405458011,1.2g,,,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,<1%,90g,Morrisons The Best Hampshire Breed Dry Cured Unsmoked Back Bacon 200g,£2.65,['/productImages/405/405458011_0_640x640.jpg?identifier=20a49366ea08ef4801f893a30c107db0'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-unsmoked-back-bacon-405458011,1.2g,,,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons The Best Hampshire Breed Dry Cured Unsmoked Back Bacon 200g,£2.65,['/productImages/405/405458011_0_640x640.jpg?identifier=20a49366ea08ef4801f893a30c107db0'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-unsmoked-back-bacon-405458011,0.5g,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons The Best Hampshire Breed Dry Cured Unsmoked Back Bacon 200g,£2.65,['/productImages/405/405458011_0_640x640.jpg?identifier=20a49366ea08ef4801f893a30c107db0'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-unsmoked-back-bacon-405458011,30.7g,,,,,,,,,,,,,,6.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,13%,6g,Morrisons The Best Hampshire Breed Dry Cured Unsmoked Back Bacon 200g,£2.65,['/productImages/405/405458011_0_640x640.jpg?identifier=20a49366ea08ef4801f893a30c107db0'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-unsmoked-back-bacon-405458011,3.72g,,,,,,,,,,,,,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Hampshire Breed Dry Cured Unsmoked Back Bacon 200g,£2.65,['/productImages/405/405458011_0_640x640.jpg?identifier=20a49366ea08ef4801f893a30c107db0'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-unsmoked-back-bacon-405458011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 6 portions,,,,,Morrisons The Best Hampshire Breed Dry Cured Unsmoked Back Bacon 200g,£2.65,['/productImages/405/405458011_0_640x640.jpg?identifier=20a49366ea08ef4801f893a30c107db0'],https://groceries.morrisons.com//products/morrisons-the-best-hampshire-breed-dry-cured-unsmoked-back-bacon-405458011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,7%,8400kJ/2000kcal,Morrisons The Best Thick Lincolnshire Sausages 400g,£2.65,['/productImages/210/210900011_0_640x640.jpg?identifier=2baaed2f89604598623a42866670dc71'],https://groceries.morrisons.com//products/morrisons-the-best-thick-lincolnshire-sausages-210900011,1070kJ/257kcal,,,,,,,,,,,,,,,578kJ/139kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,14%,70g,Morrisons The Best Thick Lincolnshire Sausages 400g,£2.65,['/productImages/210/210900011_0_640x640.jpg?identifier=2baaed2f89604598623a42866670dc71'],https://groceries.morrisons.com//products/morrisons-the-best-thick-lincolnshire-sausages-210900011,18.7g,,,,,,,,,,,,,,,10.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,18%,20g,Morrisons The Best Thick Lincolnshire Sausages 400g,£2.65,['/productImages/210/210900011_0_640x640.jpg?identifier=2baaed2f89604598623a42866670dc71'],https://groceries.morrisons.com//products/morrisons-the-best-thick-lincolnshire-sausages-210900011,6.7g,,,,,,,,,,,,,,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons The Best Thick Lincolnshire Sausages 400g,£2.65,['/productImages/210/210900011_0_640x640.jpg?identifier=2baaed2f89604598623a42866670dc71'],https://groceries.morrisons.com//products/morrisons-the-best-thick-lincolnshire-sausages-210900011,2.5g,,,,,,,,,,,,,,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,1%,90g,Morrisons The Best Thick Lincolnshire Sausages 400g,£2.65,['/productImages/210/210900011_0_640x640.jpg?identifier=2baaed2f89604598623a42866670dc71'],https://groceries.morrisons.com//products/morrisons-the-best-thick-lincolnshire-sausages-210900011,1g,,,,,,,,,,,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons The Best Thick Lincolnshire Sausages 400g,£2.65,['/productImages/210/210900011_0_640x640.jpg?identifier=2baaed2f89604598623a42866670dc71'],https://groceries.morrisons.com//products/morrisons-the-best-thick-lincolnshire-sausages-210900011,1.2g,,,,,,,,,,,,,,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons The Best Thick Lincolnshire Sausages 400g,£2.65,['/productImages/210/210900011_0_640x640.jpg?identifier=2baaed2f89604598623a42866670dc71'],https://groceries.morrisons.com//products/morrisons-the-best-thick-lincolnshire-sausages-210900011,19.3g,,,,,,,,,,,,,,,10.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,10%,6g,Morrisons The Best Thick Lincolnshire Sausages 400g,£2.65,['/productImages/210/210900011_0_640x640.jpg?identifier=2baaed2f89604598623a42866670dc71'],https://groceries.morrisons.com//products/morrisons-the-best-thick-lincolnshire-sausages-210900011,1.08g,,,,,,,,,,,,,,,0.58g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Thick Lincolnshire Sausages 400g,£2.65,['/productImages/210/210900011_0_640x640.jpg?identifier=2baaed2f89604598623a42866670dc71'],https://groceries.morrisons.com//products/morrisons-the-best-thick-lincolnshire-sausages-210900011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 6 portions,,,,,Morrisons The Best Thick Lincolnshire Sausages 400g,£2.65,['/productImages/210/210900011_0_640x640.jpg?identifier=2baaed2f89604598623a42866670dc71'],https://groceries.morrisons.com//products/morrisons-the-best-thick-lincolnshire-sausages-210900011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,,8400kJ,Morrisons Market St Seabass Fillets 180g,£4,['/productImages/405/405432011_0_640x640.jpg?identifier=254e468a7d54c43b4a875b721d7c20c0'],https://groceries.morrisons.com//products/morrisons-market-st-seabass-fillets-405432011,,,,,,,,,,,,774kJ,,,,,619kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7%,2000kcal,Morrisons Market St Seabass Fillets 180g,£4,['/productImages/405/405432011_0_640x640.jpg?identifier=254e468a7d54c43b4a875b721d7c20c0'],https://groceries.morrisons.com//products/morrisons-market-st-seabass-fillets-405432011,,,,,,,,,,,,186kcal,,,,,148kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,13%,70g,Morrisons Market St Seabass Fillets 180g,£4,['/productImages/405/405432011_0_640x640.jpg?identifier=254e468a7d54c43b4a875b721d7c20c0'],https://groceries.morrisons.com//products/morrisons-market-st-seabass-fillets-405432011,,,,,,,,,,,,11.5g,,,,,9.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,8%,20g,Morrisons Market St Seabass Fillets 180g,£4,['/productImages/405/405432011_0_640x640.jpg?identifier=254e468a7d54c43b4a875b721d7c20c0'],https://groceries.morrisons.com//products/morrisons-market-st-seabass-fillets-405432011,,,,,,,,,,,,2.1g,,,,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Market St Seabass Fillets 180g,£4,['/productImages/405/405432011_0_640x640.jpg?identifier=254e468a7d54c43b4a875b721d7c20c0'],https://groceries.morrisons.com//products/morrisons-market-st-seabass-fillets-405432011,,,,,,,,,,,,nil,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,0%,90g,Morrisons Market St Seabass Fillets 180g,£4,['/productImages/405/405432011_0_640x640.jpg?identifier=254e468a7d54c43b4a875b721d7c20c0'],https://groceries.morrisons.com//products/morrisons-market-st-seabass-fillets-405432011,,,,,,,,,,,,nil,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Market St Seabass Fillets 180g,£4,['/productImages/405/405432011_0_640x640.jpg?identifier=254e468a7d54c43b4a875b721d7c20c0'],https://groceries.morrisons.com//products/morrisons-market-st-seabass-fillets-405432011,,,,,,,,,,,,nil,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Market St Seabass Fillets 180g,£4,['/productImages/405/405432011_0_640x640.jpg?identifier=254e468a7d54c43b4a875b721d7c20c0'],https://groceries.morrisons.com//products/morrisons-market-st-seabass-fillets-405432011,,,,,,,,,,,,20.5g,,,,,16.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,3%,6g,Morrisons Market St Seabass Fillets 180g,£4,['/productImages/405/405432011_0_640x640.jpg?identifier=254e468a7d54c43b4a875b721d7c20c0'],https://groceries.morrisons.com//products/morrisons-market-st-seabass-fillets-405432011,,,,,,,,,,,,0.25g,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Market St Seabass Fillets 180g,£4,['/productImages/405/405432011_0_640x640.jpg?identifier=254e468a7d54c43b4a875b721d7c20c0'],https://groceries.morrisons.com//products/morrisons-market-st-seabass-fillets-405432011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 2 portions,,,,,Morrisons Market St Seabass Fillets 180g,£4,['/productImages/405/405432011_0_640x640.jpg?identifier=254e468a7d54c43b4a875b721d7c20c0'],https://groceries.morrisons.com//products/morrisons-market-st-seabass-fillets-405432011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,,,Spoiltpig Smoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116150011_0_640x640.jpg?identifier=8dc81ed980d30b0f6494ff4a052b0fd4'],https://groceries.morrisons.com//products/spoiltpig-smoked-dry-cured-back-bacon-rashers-116150011,,,,,,,,,,,,,,1128kJ/271kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,,,Spoiltpig Smoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116150011_0_640x640.jpg?identifier=8dc81ed980d30b0f6494ff4a052b0fd4'],https://groceries.morrisons.com//products/spoiltpig-smoked-dry-cured-back-bacon-rashers-116150011,,,,,,,,,,,,,,20.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,,,Spoiltpig Smoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116150011_0_640x640.jpg?identifier=8dc81ed980d30b0f6494ff4a052b0fd4'],https://groceries.morrisons.com//products/spoiltpig-smoked-dry-cured-back-bacon-rashers-116150011,,,,,,,,,,,,,,6.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates,,,,,Spoiltpig Smoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116150011_0_640x640.jpg?identifier=8dc81ed980d30b0f6494ff4a052b0fd4'],https://groceries.morrisons.com//products/spoiltpig-smoked-dry-cured-back-bacon-rashers-116150011,,,,,,,,,,,,,,<0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,,,Spoiltpig Smoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116150011_0_640x640.jpg?identifier=8dc81ed980d30b0f6494ff4a052b0fd4'],https://groceries.morrisons.com//products/spoiltpig-smoked-dry-cured-back-bacon-rashers-116150011,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Spoiltpig Smoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116150011_0_640x640.jpg?identifier=8dc81ed980d30b0f6494ff4a052b0fd4'],https://groceries.morrisons.com//products/spoiltpig-smoked-dry-cured-back-bacon-rashers-116150011,,,,,,,,,,,,,,21.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,,,Spoiltpig Smoked Dry Cured Back Bacon Rashers 184g,£2.75,['/productImages/116/116150011_0_640x640.jpg?identifier=8dc81ed980d30b0f6494ff4a052b0fd4'],https://groceries.morrisons.com//products/spoiltpig-smoked-dry-cured-back-bacon-rashers-116150011,,,,,,,,,,,,,,2.22g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,,,Morrisons Market St 2 Smoked Haddock Portions  220g,£4,['/productImages/482/482595011_0_640x640.jpg?identifier=649e1e05f3b01617f71bb6ace7519093'],https://groceries.morrisons.com//products/morrisons-market-st-2-smoked-haddock-portions-482595011,,,,,,,,,,,,,,,,,,415kJ/98kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,,,Morrisons Market St 2 Smoked Haddock Portions  220g,£4,['/productImages/482/482595011_0_640x640.jpg?identifier=649e1e05f3b01617f71bb6ace7519093'],https://groceries.morrisons.com//products/morrisons-market-st-2-smoked-haddock-portions-482595011,,,,,,,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,,,Morrisons Market St 2 Smoked Haddock Portions  220g,£4,['/productImages/482/482595011_0_640x640.jpg?identifier=649e1e05f3b01617f71bb6ace7519093'],https://groceries.morrisons.com//products/morrisons-market-st-2-smoked-haddock-portions-482595011,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Market St 2 Smoked Haddock Portions  220g,£4,['/productImages/482/482595011_0_640x640.jpg?identifier=649e1e05f3b01617f71bb6ace7519093'],https://groceries.morrisons.com//products/morrisons-market-st-2-smoked-haddock-portions-482595011,,,,,,,,,,,,,,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,,,Morrisons Market St 2 Smoked Haddock Portions  220g,£4,['/productImages/482/482595011_0_640x640.jpg?identifier=649e1e05f3b01617f71bb6ace7519093'],https://groceries.morrisons.com//products/morrisons-market-st-2-smoked-haddock-portions-482595011,,,,,,,,,,,,,,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Market St 2 Smoked Haddock Portions  220g,£4,['/productImages/482/482595011_0_640x640.jpg?identifier=649e1e05f3b01617f71bb6ace7519093'],https://groceries.morrisons.com//products/morrisons-market-st-2-smoked-haddock-portions-482595011,,,,,,,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Market St 2 Smoked Haddock Portions  220g,£4,['/productImages/482/482595011_0_640x640.jpg?identifier=649e1e05f3b01617f71bb6ace7519093'],https://groceries.morrisons.com//products/morrisons-market-st-2-smoked-haddock-portions-482595011,,,,,,,,,,,,,,,,,,23.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,,,Morrisons Market St 2 Smoked Haddock Portions  220g,£4,['/productImages/482/482595011_0_640x640.jpg?identifier=649e1e05f3b01617f71bb6ace7519093'],https://groceries.morrisons.com//products/morrisons-market-st-2-smoked-haddock-portions-482595011,,,,,,,,,,,,,,,,,,1.37g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,,,"Morrisons The Best Salmon,Smoked Cod & Haddock Fishcakes With Cheddar Sauce 290g",£2.60,['/productImages/293/293824011_0_640x640.jpg?identifier=f38fef35c20307c28665212badd5dbd0'],https://groceries.morrisons.com//products/morrisons-the-best-salmon-smoked-cod-haddock-fishcakes-with-cheddar-sauce-293824011,,,,,700kJ/167kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,,,"Morrisons The Best Salmon,Smoked Cod & Haddock Fishcakes With Cheddar Sauce 290g",£2.60,['/productImages/293/293824011_0_640x640.jpg?identifier=f38fef35c20307c28665212badd5dbd0'],https://groceries.morrisons.com//products/morrisons-the-best-salmon-smoked-cod-haddock-fishcakes-with-cheddar-sauce-293824011,,,,,6.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,,,"Morrisons The Best Salmon,Smoked Cod & Haddock Fishcakes With Cheddar Sauce 290g",£2.60,['/productImages/293/293824011_0_640x640.jpg?identifier=f38fef35c20307c28665212badd5dbd0'],https://groceries.morrisons.com//products/morrisons-the-best-salmon-smoked-cod-haddock-fishcakes-with-cheddar-sauce-293824011,,,,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,"Morrisons The Best Salmon,Smoked Cod & Haddock Fishcakes With Cheddar Sauce 290g",£2.60,['/productImages/293/293824011_0_640x640.jpg?identifier=f38fef35c20307c28665212badd5dbd0'],https://groceries.morrisons.com//products/morrisons-the-best-salmon-smoked-cod-haddock-fishcakes-with-cheddar-sauce-293824011,,,,,12.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,,,"Morrisons The Best Salmon,Smoked Cod & Haddock Fishcakes With Cheddar Sauce 290g",£2.60,['/productImages/293/293824011_0_640x640.jpg?identifier=f38fef35c20307c28665212badd5dbd0'],https://groceries.morrisons.com//products/morrisons-the-best-salmon-smoked-cod-haddock-fishcakes-with-cheddar-sauce-293824011,,,,,2.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,"Morrisons The Best Salmon,Smoked Cod & Haddock Fishcakes With Cheddar Sauce 290g",£2.60,['/productImages/293/293824011_0_640x640.jpg?identifier=f38fef35c20307c28665212badd5dbd0'],https://groceries.morrisons.com//products/morrisons-the-best-salmon-smoked-cod-haddock-fishcakes-with-cheddar-sauce-293824011,,,,,1.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,"Morrisons The Best Salmon,Smoked Cod & Haddock Fishcakes With Cheddar Sauce 290g",£2.60,['/productImages/293/293824011_0_640x640.jpg?identifier=f38fef35c20307c28665212badd5dbd0'],https://groceries.morrisons.com//products/morrisons-the-best-salmon-smoked-cod-haddock-fishcakes-with-cheddar-sauce-293824011,,,,,13.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
