item_name,price,image_url
                  Morrisons Tilapia Fillet                                  Typically: 204g                 ,               £3.88              ,https://groceries.morrisons.com/productImages/539/539501011_0_150x150.jpg?identifier=3f2d02cb737fa773b337e3cf553984d4
                  Morrisons The Best Chipolatas Wrapped In Bacon                                  243g                 ,               £3              ,https://groceries.morrisons.com/productImages/430/430721011_0_150x150.jpg?identifier=10e97e13aed0721922b45e7fc22089a8
                  Morrisons The Best Bread Sauce                                  300g                 ,               £1.50              ,https://groceries.morrisons.com/productImages/537/537410011_0_150x150.jpg?identifier=63cb8938ea1bec0bee591850dfb07f16
                  Morrisons  Cold Smoked Salmon                                  200g                 ,               £3              ,https://groceries.morrisons.com/productImages/532/532957011_0_150x150.jpg?identifier=f812af53361dd39e2f5f4467fec58d95
                  Morrisons The Best Apple & Cranberr…                                  300g                 ,               £3              ,https://groceries.morrisons.com/productImages/532/532112011_0_150x150.jpg?identifier=e1bacf2bc643e19e30c758c378927afe
                  Morrisons Cocktail Blinis                                  162g                 ,               £2              ,https://groceries.morrisons.com/productImages/426/426599011_0_150x150.jpg?identifier=0f11dd66891faf581237fa658233f731
                  Morrisons The Best Beef Gravy                                  500g                 ,               £2              ,https://groceries.morrisons.com/productImages/537/537411011_0_150x150.jpg?identifier=ec1597016ac7706586b71316877f7885
                  Morrisons The Best British Beef 28 Day Ma…                                  Typically: 1.9kg                 ,               £19              ,https://groceries.morrisons.com/productImages/386/386846011_0_150x150.jpg?identifier=2e57afa84dd8730a070e6734a5fde304
                  Morrisons The Best Crackling Sweetcured Gammon Joint                                  2kg                 ,               £15              ,https://groceries.morrisons.com/productImages/491/491627011_0_150x150.jpg?identifier=44ab3cd78a8497e53e406abbdbb34ad5
                  Morrisons The Best Prawns In Garlic Butter                                  200g                 ,               £4.50              ,https://groceries.morrisons.com/productImages/531/531201011_0_150x150.jpg?identifier=f8ba2036e69ad78c93f2a3e2a8047a40
                  Morrisons The Best British Beef…                                  1kg                 ,               £22              ,https://groceries.morrisons.com/productImages/386/386844011_0_150x150.jpg?identifier=a350f1d81118c21a7510028e5931ea9f
                  Morrisons British Three Bird Roast                                  1.2kg                 ,               £20              ,https://groceries.morrisons.com/productImages/537/537414011_0_150x150.jpg?identifier=d75b025571e483c8454e74ed0ac5b946
